gene_name,experiment_ids,allen_gene_ids,entrez_ids,entrez_history,current_entrez_ids,mgi_ids,current_symbols,old_ensembl_id,mgi_candidates,ncbi_candidates,candidate_ids,allen_target_ambiguous,ensembl_ids,rejected_candidates,status
Csf2rb2,[73992937],[12767],"[""12984""]","[[""12984""]]","[""12984""]","[""MGI:1339760""]","[""Csf2rb2""]",ENSMUSG00000071714,"[""ENSMUSG00000071714""]","[""ENSMUSG00000071714""]","[""ENSMUSG00000071714""]",False,"[""ENSMUSG00000071714""]",{},one_to_one
Csk,[75651192],[12771],"[""12988""]","[[""12988""]]","[""12988""]","[""MGI:88537""]","[""Csk""]",ENSMUSG00000032312,"[""ENSMUSG00000032312""]","[""ENSMUSG00000032312""]","[""ENSMUSG00000032312""]",False,"[""ENSMUSG00000032312""]",{},one_to_one
Csnk1a1,[74658110],[60339],"[""93687""]","[[""93687""]]","[""93687""]","[""MGI:1934950""]","[""Csnk1a1""]",ENSMUSG00000024576,"[""ENSMUSG00000024576""]","[""ENSMUSG00000024576""]","[""ENSMUSG00000024576""]",False,"[""ENSMUSG00000024576""]",{},one_to_one
Cspg5,[73931385],[29608],"[""29873""]","[[""29873""]]","[""29873""]","[""MGI:1352747""]","[""Cspg5""]",ENSMUSG00000032482,"[""ENSMUSG00000032482""]","[""ENSMUSG00000032482""]","[""ENSMUSG00000032482""]",False,"[""ENSMUSG00000032482""]",{},one_to_one
Csrnp2,[74047914],[83898],"[""207785""]","[[""207785""]]","[""207785""]","[""MGI:2386852""]","[""Csrnp2""]",ENSMUSG00000044636,"[""ENSMUSG00000044636""]","[""ENSMUSG00000044636""]","[""ENSMUSG00000044636""]",False,"[""ENSMUSG00000044636""]",{},one_to_one
Csrp1,[2129],[12790],"[""13007""]","[[""13007""]]","[""13007""]","[""MGI:88549""]","[""Csrp1""]",ENSMUSG00000026421,"[""ENSMUSG00000026421""]","[""ENSMUSG00000026421""]","[""ENSMUSG00000026421""]",False,"[""ENSMUSG00000026421""]",{},one_to_one
Csrp2bp,[276275],[86760],"[""228714""]","[[""228714""]]","[""228714""]","[""MGI:1917264""]","[""Kat14""]",ENSMUSG00000027425,"[""ENSMUSG00000027425""]","[""ENSMUSG00000027425""]","[""ENSMUSG00000027425""]",False,"[""ENSMUSG00000027425""]",{},one_to_one
Csrp3,[77332671],[12792],"[""13009""]","[[""13009""]]","[""13009""]","[""MGI:1330824""]","[""Csrp3""]",ENSMUSG00000030470,"[""ENSMUSG00000030470""]","[""ENSMUSG00000030470""]","[""ENSMUSG00000030470""]",False,"[""ENSMUSG00000030470""]",{},one_to_one
Cst3,[69120555],[12793],"[""13010""]","[[""13010""]]","[""13010""]","[""MGI:102519""]","[""Cst3""]",ENSMUSG00000027447,"[""ENSMUSG00000027447""]","[""ENSMUSG00000027447""]","[""ENSMUSG00000027447""]",False,"[""ENSMUSG00000027447""]",{},one_to_one
Cst6,[75041560],[49561],"[""73720""]","[[""73720""]]","[""73720""]","[""MGI:1920970""]","[""Cst6""]",ENSMUSG00000024846,"[""ENSMUSG00000024846""]","[""ENSMUSG00000024846""]","[""ENSMUSG00000024846""]",False,"[""ENSMUSG00000024846""]",{},one_to_one
Cstb,[1343],[12797],"[""13014""]","[[""13014""]]","[""13014""]","[""MGI:109514""]","[""Cstb""]",ENSMUSG00000005054,"[""ENSMUSG00000005054""]","[""ENSMUSG00000005054""]","[""ENSMUSG00000005054""]",False,"[""ENSMUSG00000005054""]",{},one_to_one
